#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
sn2006al 999 0.067850 999 18.348057 999 -1.409994 0.272996 -0.119833 0.035611 999 999 53787.192342 0.676823 999 999 999 999 999 999 999 8.100064e-04 3.989310e-05
03D1dt 999 0.612000 999 23.290027 999 0.322751 0.676530 -0.084385 0.045549 999 999 52961.113617 0.802269 999 999 999 999 999 999 999 8.694323e-06 2.651550e-07
05D4bi 999 0.775000 999 24.031717 999 0.998842 0.387570 -0.136470 0.063421 999 999 53560.317173 0.541453 999 999 999 999 999 999 999 4.350150e-06 1.559361e-07
sn2001bf 999 0.015501 999 14.694631 999 0.549037 0.082746 -0.032751 0.021680 999 999 52046.760481 0.233008 999 999 999 999 999 999 999 2.368986e-02 5.645902e-04
SDSS5391 999 0.300900 999 21.701807 999 0.260594 0.554537 -0.031142 0.055162 999 999 53658.690634 0.568459 999 999 999 999 999 999 999 3.754996e-05 2.372006e-06
sn2005el 999 0.014910 999 14.817597 999 -1.281648 0.031888 -0.129896 0.021496 999 999 53646.855288 0.050508 999 999 999 999 999 999 999 2.116605e-02 4.570885e-04
SDSS13830 999 0.330000 999 21.644268 999 1.184998 0.623239 -0.020183 0.053535 999 999 53990.926256 0.739362 999 999 999 999 999 999 999 3.953868e-05 2.826971e-06
04D1dc 999 0.211000 999 21.055078 999 -1.237058 0.061483 -0.002498 0.025142 999 999 53230.680305 0.160025 999 999 999 999 999 999 999 6.802139e-05 1.781370e-06
SDSS18809 999 0.129000 999 19.745219 999 -1.171975 0.179472 -0.076842 0.024083 999 999 54383.152220 0.268073 999 999 999 999 999 999 999 2.274342e-04 6.186490e-06
04D4ii 999 0.866000 999 24.358265 999 1.344279 0.417218 0.000185 0.059327 999 999 53273.862586 0.526296 999 999 999 999 999 999 999 3.194583e-06 1.333445e-07
SDSS12971 999 0.235240 999 20.792250 999 1.185180 0.581716 -0.091344 0.036035 999 999 53976.636276 1.189021 999 999 999 999 999 999 999 8.664844e-05 3.111665e-06
SDSS13411 999 0.163000 999 20.326105 999 1.787217 0.373981 0.019799 0.034138 999 999 53987.459857 0.302631 999 999 999 999 999 999 999 1.330054e-04 6.557471e-06
SDSS5844 999 0.310800 999 21.575585 999 0.392685 0.510554 -0.142153 0.041930 999 999 53663.635669 0.528535 999 999 999 999 999 999 999 4.213105e-05 1.960196e-06
