#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
05D4bi 999 0.775000 999 24.031706 999 0.998577 0.479609 -0.136467 0.065808 999 999 53560.317285 0.545165 999 999 999 999 999 999 999 4.350196e-06 1.990583e-07
SDSS5391 999 0.300900 999 21.701809 999 0.260602 0.598864 -0.031138 0.057707 999 999 53658.690614 0.583147 999 999 999 999 999 999 999 3.754989e-05 2.628113e-06
SDSS13830 999 0.330000 999 21.644064 999 1.183686 0.621472 -0.020347 0.053519 999 999 53990.925309 0.736745 999 999 999 999 999 999 999 3.954614e-05 2.827141e-06
04D1dc 999 0.211000 999 21.055079 999 -1.237058 0.061482 -0.002498 0.025141 999 999 53230.680306 0.160006 999 999 999 999 999 999 999 6.802135e-05 1.781376e-06
SDSS18809 999 0.129000 999 19.745216 999 -1.171984 0.179442 -0.076845 0.024448 999 999 54383.152222 0.268210 999 999 999 999 999 999 999 2.274349e-04 6.290255e-06
04D4ii 999 0.866000 999 24.358268 999 1.344278 0.685694 0.000181 0.073455 999 999 53273.862586 0.528956 999 999 999 999 999 999 999 3.194573e-06 2.602124e-07
SDSS12971 999 0.235240 999 20.792262 999 1.185435 0.580329 -0.091335 0.036042 999 999 53976.635770 1.176099 999 999 999 999 999 999 999 8.664750e-05 3.112492e-06
SDSS13411 999 0.163000 999 20.326105 999 1.787229 0.394651 0.019799 0.035986 999 999 53987.459846 0.309421 999 999 999 999 999 999 999 1.330053e-04 7.120254e-06
SDSS5844 999 0.310800 999 21.575587 999 0.392710 0.537762 -0.142152 0.043884 999 999 53663.635671 0.540300 999 999 999 999 999 999 999 4.213098e-05 2.143478e-06
SDSS7779 999 0.381200 999 21.922252 999 1.321059 0.633697 -0.102434 0.042796 999 999 53675.694681 0.598515 999 999 999 999 999 999 999 3.062243e-05 1.246318e-06
04D2fs 999 0.357000 999 22.425029 999 0.094329 0.102835 0.060709 0.025632 999 999 53107.697265 0.128424 999 999 999 999 999 999 999 1.933850e-05 4.707470e-07
SDSS6315 999 0.267000 999 20.924984 999 -0.091409 0.364877 -0.194035 0.037766 999 999 53676.663647 0.331639 999 999 999 999 999 999 999 7.668987e-05 2.531514e-06
05D3kt 999 0.648000 999 23.971638 999 -0.433703 0.235521 0.062993 0.070485 999 999 53530.947708 0.276037 999 999 999 999 999 999 999 4.640246e-06 2.103568e-07
SDSS5549 999 0.121000 999 19.646388 999 0.253293 0.097317 0.005374 0.022438 999 999 53666.084607 0.103651 999 999 999 999 999 999 999 2.486906e-04 6.435944e-06
Vilas 999 0.935000 999 24.482005 999 0.055773 0.289883 -0.025468 0.058850 999 999 52726.208717 1.361999 999 999 999 999 999 999 999 2.906583e-06 1.119599e-07
SDSS16402 999 0.290000 999 20.859667 999 -0.864615 0.780404 -0.186533 0.042468 999 999 54059.496232 0.553796 999 999 999 999 999 999 999 8.142709e-05 3.065094e-06
SDSS12950 999 0.082660 999 18.913944 999 -0.331291 0.061091 -0.005196 0.020616 999 999 54000.046058 0.068172 999 999 999 999 999 999 999 4.883772e-04 1.156664e-05
06D4co 999 0.437000 999 22.527838 999 -0.404442 0.093364 -0.044327 0.023103 999 999 53940.300373 0.159979 999 999 999 999 999 999 999 1.755085e-05 3.912516e-07
SDSS2330 999 0.213200 999 21.772497 999 -1.884592 0.548048 0.044886 0.056501 999 999 53635.472050 0.494676 999 999 999 999 999 999 999 3.508992e-05 1.982994e-06
SDSS3377 999 0.245100 999 20.796578 999 1.038396 0.300885 -0.080207 0.035088 999 999 53645.939820 0.322347 999 999 999 999 999 999 999 8.642622e-05 3.011733e-06
sn2006et 999 0.022172 999 15.952728 999 0.936317 0.151508 0.121890 0.029016 999 999 53994.447538 0.221326 999 999 999 999 999 999 999 7.421138e-03 2.224102e-04
04D2gp 999 0.732000 999 24.198842 999 -1.350141 0.520821 -0.138378 0.098277 999 999 53110.448370 0.598834 999 999 999 999 999 999 999 3.756646e-06 2.510276e-07
05D1cc 999 0.564000 999 23.509641 999 -0.152151 0.152445 -0.006525 0.031033 999 999 53607.888997 0.230053 999 999 999 999 999 999 999 7.107307e-06 1.865667e-07
SDSS15674 999 0.198000 999 21.016143 999 -0.341568 0.302067 0.004397 0.037178 999 999 54040.283311 0.233271 999 999 999 999 999 999 999 7.044186e-05 2.957805e-06
06D2ck 999 0.552000 999 23.413482 999 0.009398 0.724521 -0.031412 0.069346 999 999 53793.697593 0.669828 999 999 999 999 999 999 999 7.798298e-06 5.148942e-07
06D2cc 999 0.532000 999 23.458484 999 -0.572143 0.328251 0.084253 0.049252 999 999 53788.586490 0.448563 999 999 999 999 999 999 999 7.473349e-06 2.886042e-07
05D3km 999 0.960000 999 24.697054 999 0.348423 0.310082 -0.181787 0.048617 999 999 53522.924191 0.442848 999 999 999 999 999 999 999 2.324152e-06 1.216424e-07
04D1hx 999 0.560000 999 23.702550 999 0.290134 0.189869 0.114740 0.034921 999 999 53260.057892 0.268558 999 999 999 999 999 999 999 5.940674e-06 1.452090e-07
SDSS19940 999 0.147000 999 19.798483 999 1.046161 0.206421 -0.004444 0.024579 999 999 54407.780392 0.176557 999 999 999 999 999 999 999 2.162693e-04 5.689385e-06
SDSS11206 999 0.381900 999 22.200314 999 -1.542151 0.917596 -0.204769 0.085100 999 999 53697.294459 1.681332 999 999 999 999 999 999 999 2.368058e-05 1.889167e-06
SDSS16213 999 0.250000 999 21.127036 999 0.279187 0.436733 -0.096786 0.039613 999 999 54053.580407 0.418251 999 999 999 999 999 999 999 6.366744e-05 2.384780e-06
04D1hd 999 0.369000 999 22.156680 999 0.789359 0.067896 -0.092397 0.027355 999 999 53268.297806 0.081516 999 999 999 999 999 999 999 2.469531e-05 6.932409e-07
SDSS18749 999 0.188000 999 21.075184 999 -1.441383 0.375616 0.065593 0.034064 999 999 54385.105863 0.432241 999 999 999 999 999 999 999 6.667173e-05 2.311855e-06
SDSS19543 999 0.123000 999 19.943597 999 -0.835465 0.137089 -0.021872 0.024423 999 999 54401.005672 0.119954 999 999 999 999 999 999 999 1.891654e-04 5.253203e-06
SDSS21033 999 0.229000 999 20.999782 999 -0.792808 0.518966 -0.087474 0.041187 999 999 54421.078270 0.555723 999 999 999 999 999 999 999 7.160308e-05 2.638596e-06
SDSS20575 999 0.196000 999 20.620076 999 0.161051 0.494082 0.034213 0.032157 999 999 54416.307933 0.446101 999 999 999 999 999 999 999 1.014369e-04 3.388741e-06
SDSS15648 999 0.175020 999 21.030794 999 -1.455063 0.384718 0.114302 0.047371 999 999 54042.564424 0.297867 999 999 999 999 999 999 999 6.940512e-05 3.997285e-06
SDSS15461 999 0.180000 999 20.357192 999 -0.162114 0.209321 -0.100209 0.026657 999 999 54036.984179 0.173294 999 999 999 999 999 999 999 1.293071e-04 3.947746e-06
05D2le 999 0.700000 999 23.949518 999 0.493621 0.307234 -0.016273 0.049586 999 999 53694.970722 0.412727 999 999 999 999 999 999 999 4.734844e-06 1.549692e-07
SDSS3451 999 0.250000 999 20.952138 999 0.651705 0.318953 -0.054851 0.038644 999 999 53645.181201 0.306337 999 999 999 999 999 999 999 7.478345e-05 2.901128e-06
04D3dd 999 1.002000 999 24.973097 999 0.740540 3.274435 -0.013947 0.431725 999 999 53113.471718 3.292967 999 999 999 999 999 999 999 1.795890e-06 1.341243e-06
05D2ci 999 0.630000 999 23.604425 999 -0.942614 0.681119 0.084604 0.127269 999 999 53427.846635 0.337813 999 999 999 999 999 999 999 6.519573e-06 8.791945e-07
