#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 sn1998v 999 0.017572 999 15.090386 -0.000260 -0.175326 0.117125 -0.013337 0.022647 999 999 50892.090931 0.290728 999 999 999 999 999 999 999
 SDSS20111 999 0.245000 999 21.411290 -0.002653 -0.029619 0.582962 0.009046 0.044237 999 999 54410.055659 0.489734 999 999 999 999 999 999 999
 SDSS19149 999 0.196000 999 20.365638 -0.001925 1.179692 0.199939 0.010582 0.028082 999 999 54398.827159 0.165144 999 999 999 999 999 999 999
 SDSS3451 999 0.250000 999 20.952124 -0.002590 0.651721 0.314306 -0.054847 0.037685 999 999 53645.181180 0.306529 999 999 999 999 999 999 999
 04D4ih 999 0.934000 999 24.354119 -0.002358 0.321956 0.344173 -0.216488 0.052188 999 999 53269.567579 0.426738 999 999 999 999 999 999 999
 sn1998dx 999 0.054224 999 17.513871 -0.000750 -1.589483 0.281656 -0.130498 0.027888 999 999 51071.939888 0.425737 999 999 999 999 999 999 999
 SDSS12883 999 0.307000 999 21.587828 -0.002178 -1.955825 0.848873 -0.057724 0.072097 999 999 53980.131554 0.813291 999 999 999 999 999 999 999
 sn2005na 999 0.026322 999 15.902995 0.001182 -0.449219 0.028449 -0.117683 0.019169 999 999 53740.725786 0.058265 999 999 999 999 999 999 999
 SDSS17340 999 0.257090 999 21.317577 -0.001590 -0.075250 0.430584 -0.006557 0.042745 999 999 54356.407337 0.392687 999 999 999 999 999 999 999
 sn1992bp 999 0.079300 999 18.257685 -0.000926 -0.954389 0.125066 -0.100858 0.049752 999 999 48980.527655 0.207613 999 999 999 999 999 999 999
 SDSS774 999 0.093490 999 18.937502 -0.002106 0.664736 0.266129 -0.024846 0.031641 999 999 53609.244163 0.997845 999 999 999 999 999 999 999
 Elvis 999 0.839000 999 24.362582 0.000867 -0.081951 0.330943 -0.019730 0.039662 999 999 52782.897207 0.900364 999 999 999 999 999 999 999
 SDSS2017 999 0.261600 999 21.300386 -0.002514 1.387941 0.545722 -0.105703 0.048200 999 999 53635.987224 0.558136 999 999 999 999 999 999 999
 05D3mn 999 0.760000 999 24.013449 0.000861 -0.123083 0.292771 -0.036523 0.050927 999 999 53559.291816 0.326169 999 999 999 999 999 999 999
 SDSS14451 999 0.179000 999 20.150637 -0.002045 0.289740 0.167290 -0.106829 0.026253 999 999 54011.802655 0.176699 999 999 999 999 999 999 999
 05D3cq 999 0.890000 999 24.174169 0.000837 -0.724882 0.452232 -0.198451 0.051221 999 999 53450.843013 0.837107 999 999 999 999 999 999 999
 04D2cf 999 0.369000 999 22.444311 0.002514 -0.739320 0.245614 -0.021669 0.035607 999 999 53075.356639 1.082507 999 999 999 999 999 999 999
 SDSS18604 999 0.178000 999 20.910672 -0.002656 -2.079575 0.215737 -0.046391 0.029506 999 999 54387.374243 0.208106 999 999 999 999 999 999 999
 06D3en 999 1.060000 999 24.634613 0.000844 -0.991531 0.412856 -0.159697 0.060357 999 999 53881.456215 0.967338 999 999 999 999 999 999 999
 sn2006mp 999 0.023016 999 15.972230 -0.000822 0.940938 0.149073 0.003469 0.027014 999 999 54054.328161 0.107364 999 999 999 999 999 999 999
 SDSS9457 999 0.256900 999 21.432469 -0.002610 -0.349395 0.588142 -0.020765 0.058964 999 999 53688.824356 0.517186 999 999 999 999 999 999 999
 SDSS14984 999 0.184000 999 20.865278 -0.002202 1.015734 0.332875 0.073028 0.032475 999 999 54024.802334 0.319604 999 999 999 999 999 999 999
 sn2003u 999 0.028341 999 16.462954 0.000465 -2.090338 0.294683 -0.032576 0.026591 999 999 52677.456642 0.137864 999 999 999 999 999 999 999
 05D3ci 999 0.515000 999 23.628875 0.000841 2.165395 0.581317 0.168594 0.043545 999 999 53432.384939 0.408965 999 999 999 999 999 999 999
 sn2002kf 999 0.019300 999 15.642335 0.000599 -0.973874 0.075913 -0.054583 0.022451 999 999 52639.562862 0.281184 999 999 999 999 999 999 999
 SDSS20064 999 0.105240 999 19.258354 -0.002615 0.848739 0.180981 0.055742 0.023809 999 999 54413.139303 0.119869 999 999 999 999 999 999 999
 03D1aw 999 0.582000 999 23.575562 -0.001752 0.976705 0.274230 -0.024877 0.036549 999 999 52902.900390 0.354151 999 999 999 999 999 999 999
 05D3jk 999 0.736000 999 23.676471 0.000863 0.779069 0.180090 -0.127005 0.046122 999 999 53507.774284 0.232096 999 999 999 999 999 999 999
