#name mBc dmBc mB dmB x0 dx0 x1 dx1 c dc tmax dtmax z
SDSS12898 19.019822 0.112109 19.0209842816 0.0264703262336 0.000443580771899 1.09447523628e-05 -0.0693489590919 0.0846607683944 0.0700493085406 0.0211960450597 54002.4811041 0.0800789883324 0.081
SDSS12927 20.351422 0.118918 20.351872283 0.0484453318417 0.000130293429957 5.86143575734e-06 0.0260588261651 0.324203886143 0.0147063659518 0.0326353418783 53988.9357249 0.807785625188 0.175
SDSS12928 19.897068 0.116765 19.8977698093 0.0430193493589 0.000198053808141 7.8780803065e-06 -0.558039896232 0.378518241128 -0.0640043704766 0.0320836479794 53972.952834 1.10423275525 0.1397
SDSS12930 20.061964 0.117074 20.0628142286 0.0438464271681 0.00017003063444 6.92558677136e-06 1.88731069795 0.404985379541 0.021651518599 0.0324886730023 53979.6802548 0.385186033829 0.14717
SDSS12950 18.915623 0.111814 18.917366649 0.0252990267269 0.000488430763763 1.1462698757e-05 -0.331499579225 0.061081589882 -0.0053287992299 0.0204338348736 54000.046171 0.0681676142704 0.08266
SDSS12971 20.793051 0.115605 20.7949368606 0.0389051638364 8.66833309684e-05 3.11206878582e-06 1.18462255555 0.581391763639 -0.0915147334939 0.0360296346186 53976.6325755 1.1923383445 0.23524
SDSS12972 21.306745 0.12587 21.3088025583 0.0629466448618 5.39990213455e-05 3.14200708407e-06 0.115967959838 0.663311567893 -0.0809592223111 0.0485385843589 53980.9925262 0.660242400019 0.258
SDSS12977 21.151867 0.115338 21.1537304764 0.0379041699214 6.22840053275e-05 2.18491235269e-06 0.0704916480991 0.488739103576 -0.0483475270229 0.0384110314633 53994.908649 0.813421967494 0.247
SDSS13005 19.89021 0.157613 19.8910369599 0.114261115133 0.000199232083922 2.11322439057e-05 -0.332264852621 0.314750080189 -0.0122971107807 0.043938991384 53964.5730957 1.2410918334 0.127
SDSS13025 21.236545 0.1168 21.2384486876 0.0424666704495 5.75745436463e-05 2.27342010588e-06 0.742037746917 0.297371489216 0.028843971161 0.0359154026451 53990.6519013 0.441037005592 0.225
SDSS13038 19.206141 0.113322 19.2076828185 0.0321559380249 0.000373891378811 1.11338841589e-05 1.41904255267 0.145955791393 -0.0232929888711 0.0230021009287 53988.6492608 0.135904920808 0.104
SDSS13044 19.578968 0.112171 19.580324855 0.0281544247965 0.000265318804005 6.90076651664e-06 -0.0143394384395 0.128143551705 -0.0678698708017 0.0221568120316 54003.15569 0.0913638438287 0.121
SDSS13045 20.67432 0.118342 20.6759037671 0.0469684896676 9.66309302514e-05 4.225223007e-06 -0.137418678193 0.468701568146 0.0521291486274 0.0342149030648 53993.2975611 1.07196780421 0.182
SDSS13070 20.348239 0.116183 20.3498865188 0.0410694030984 0.000130586928541 4.93636792356e-06 0.949020439243 0.275204863555 -0.144735598101 0.0282270581131 53986.5720925 0.252065289158 0.19853
SDSS13072 21.093432 0.122097 21.0953387804 0.0553393242637 6.57122732138e-05 3.37227806847e-06 0.392183674241 0.389835624662 -0.0133852276805 0.0433429302243 53988.9222581 0.475349759414 0.23063
SDSS13099 21.53541 0.119638 21.5376369618 0.0492007115884 4.37272024838e-05 1.99405409025e-06 0.347211687445 0.787464462823 -0.0218756408454 0.0465156966721 53995.225429 1.40676323786 0.26603
SDSS13135 19.373517 0.111598 19.3749339978 0.0254440729801 0.000320558086507 7.54090306221e-06 -1.41295321184 0.0694177268941 -0.0567820763729 0.0207068142588 54003.6184278 0.0603036624889 0.10467
SDSS13136 22.299562 0.131873 22.3018760919 0.0729095219552 2.16350483955e-05 1.45744839363e-06 0.659810327152 0.838317978538 -0.101527876491 0.0602340618898 53993.708711 1.08578962974 0.366
SDSS13152 20.662469 0.113718 20.6640951567 0.0333465972134 9.77386733848e-05 3.02787782391e-06 0.258670459361 0.243737416727 0.00769614487039 0.0293250714404 54001.2322704 0.196074893342 0.207
SDSS13254 21.151747 0.120493 21.1522239557 0.0521559470101 6.22755588747e-05 3.03108043988e-06 0.479896330164 0.537821168923 0.0929621570711 0.039262368198 53994.2784171 1.14947975023 0.18066
SDSS13305 20.849845 0.115206 20.8514524343 0.0381894386869 8.22400658395e-05 2.91862014269e-06 1.11500857645 0.309759668141 0.0176926254659 0.0330201844081 54003.8460636 0.265388616452 0.201
SDSS13354 20.298025 0.113012 20.298884912 0.0313906920022 0.000136676538635 4.00852464518e-06 1.04006405587 0.162747644189 0.0879627852872 0.0267744258065 54006.6056163 0.173793958998 0.15763
SDSS13411 20.328307 0.120879 20.3293651669 0.0531362435021 0.000133018781273 6.56024312552e-06 1.7862150464 0.373603539565 0.0197664003817 0.0341484356289 53987.4597864 0.302828845459 0.163
SDSS13425 21.86497 0.131221 21.866745706 0.0734521605238 3.21108886673e-05 2.22445012776e-06 -0.977679415477 0.560278358102 0.259537803047 0.0571762752173 53993.0115012 1.13173057265 0.211
SDSS13506 21.801057 0.122422 21.8025962985 0.0559116076537 3.41799513224e-05 1.78695629648e-06 -0.200115570982 0.625570020475 0.13853301955 0.0463265623432 54000.5810116 0.532755565142 0.243
SDSS13511 21.461512 0.117789 21.4624868166 0.0449440435935 4.68719484034e-05 1.94461494188e-06 -1.55362354485 0.441449089245 -0.0951928647145 0.0405564958118 54002.6197508 0.323148763433 0.23737
SDSS13578 21.06808 0.115846 21.0697047963 0.0397228207791 6.72929713349e-05 2.47477390557e-06 -0.245891017953 0.365672337962 -0.0403273384744 0.0364696413301 53998.7591251 0.388279247632 0.228
SDSS13610 21.38185 0.117785 21.384159976 0.0439263195621 5.03785716448e-05 2.04232300413e-06 0.0793048637091 0.535093628347 -0.0955221952273 0.0418293804763 53997.0091467 0.582205712832 0.29826
SDSS13641 20.762042 0.114386 20.7638300608 0.0355178134579 8.91872169412e-05 2.93465411276e-06 1.0264776389 0.283830754464 -0.0310548864677 0.0321158329584 54004.8314775 0.290528684734 0.21
SDSS13655 21.936242 0.119872 21.9374137912 0.049959547103 3.02206112459e-05 1.40724308143e-06 -1.33946060889 0.584310021581 0.0824373787651 0.0473613649573 53999.849782 0.559823113799 0.252
SDSS13689 20.967243 0.116581 20.9693102734 0.0414620265759 7.38113338958e-05 2.81501696955e-06 1.1611176168 0.37898049677 -0.147912593825 0.037575074215 54000.1502467 0.474406361642 0.2516
SDSS1371 19.052211 0.11196 19.0536763175 0.0272757204277 0.000430963024809 1.08348485658e-05 0.789563277228 0.0958523274218 -0.101396623051 0.0215698830209 53633.3106371 0.106018928094 0.11909
SDSS13727 20.855502 0.115514 20.8570248548 0.0388461161482 8.18555889051e-05 2.94343633082e-06 1.25310817608 0.342124470885 -0.0402766194102 0.035174492421 54004.8801095 0.326901481858 0.221
SDSS13736 19.972155 0.112283 19.9735534647 0.0286932184429 0.000184672607752 4.90691406154e-06 1.11686195594 0.164506962404 -0.0268755314069 0.0231467885037 54015.7862224 0.131889816137 0.1504
SDSS13757 21.262819 0.118845 21.2652637758 0.0468606838595 5.61940582393e-05 2.42170268709e-06 1.09893643215 0.429190164148 -0.16660777168 0.0424128602956 53993.7498887 0.63310927026 0.289
SDSS13796 19.837994 0.111766 19.8394137832 0.0266116378703 0.000208946512124 5.15255059686e-06 0.789492176901 0.115817661693 -0.0189779052756 0.0220193613168 54010.4120531 0.116713441745 0.145
SDSS13830 21.644732 0.134054 21.6473119797 0.0772623251819 3.95254485376e-05 2.83126289149e-06 1.18044835334 0.621330111832 -0.0183991421263 0.0536503643639 53990.9293524 0.740285770666 0.33
SDSS13835 21.07527 0.114566 21.0772597539 0.035474008727 6.68347845577e-05 2.18958516032e-06 0.624851952061 0.246426951355 -0.0783917632631 0.0347537814534 54011.4625132 0.262923669387 0.2477
SDSS13894 20.319989 0.113363 20.3213655407 0.0325819808885 0.000133658595711 4.09160904147e-06 0.742977833734 0.166310908718 0.166043407079 0.0272300807574 54013.6876521 0.146340675765 0.121
SDSS13934 22.190461 0.136536 22.1930248121 0.0814918070798 2.391660269e-05 1.80177102644e-06 -0.707674871576 0.819169206253 -0.100206404063 0.0694977219278 54007.4180022 0.952550879956 0.33
SDSS14019 21.433042 0.120494 21.4344973393 0.0518597699535 4.80843955384e-05 2.31238050183e-06 -0.31643612785 0.387780227202 -0.0218457856767 0.0455503353806 54012.2023248 0.396851731999 0.2164
SDSS14024 20.466614 0.114439 20.4676909419 0.0362304548036 0.000117076232231 3.94858940998e-06 -1.92293154542 0.195002013628 0.0378701862506 0.0315112863926 54011.1617674 0.204867425553 0.146
SDSS14108 20.147341 0.112393 20.1471903902 0.0291191049068 0.000157347405962 4.25243790207e-06 0.248082154773 0.143224579711 -0.000855475261252 0.0244554227772 54010.2106375 0.171476556094 0.133
SDSS14157 20.480731 0.11447 20.4811000596 0.0357556574412 0.000115729908762 3.82626212908e-06 1.12521921524 0.26607264819 -0.0584707283642 0.0318771220295 54013.9513518 0.250926333731 0.2115
SDSS14212 20.912346 0.114245 20.9139797758 0.0351258179195 7.766810742e-05 2.52778369602e-06 -0.339599177794 0.173027276079 -0.0325354451148 0.0319209707575 54012.9485309 0.18281988434 0.2054
