#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 04D4ih 999 0.934000 999 24.354118 -0.002358 0.321964 0.344552 -0.216483 0.052339 999 999 53269.567599 0.426245 999 999 999 999 999 999 999
 SDSS12883 999 0.307000 999 21.587820 -0.002178 -1.955901 0.936865 -0.057727 0.075714 999 999 53980.131604 0.831752 999 999 999 999 999 999 999
 sn2005na 999 0.026322 999 15.902994 0.001182 -0.449218 0.028449 -0.117684 0.019169 999 999 53740.725784 0.058264 999 999 999 999 999 999 999
 SDSS17340 999 0.257090 999 21.317571 -0.001590 -0.075277 0.444598 -0.006577 0.044104 999 999 54356.407363 0.392631 999 999 999 999 999 999 999
 sn1992bp 999 0.079300 999 18.257687 -0.000926 -0.954406 0.125054 -0.100858 0.049912 999 999 48980.527682 0.207573 999 999 999 999 999 999 999
 SDSS774 999 0.093490 999 18.937409 -0.002106 0.664648 0.270449 -0.024864 0.032392 999 999 53609.242940 1.024962 999 999 999 999 999 999 999
 Elvis 999 0.839000 999 24.362729 0.000867 -0.082593 0.330291 -0.019523 0.039682 999 999 52782.899477 0.893993 999 999 999 999 999 999 999
 SDSS2017 999 0.261600 999 21.300373 -0.002514 1.387827 0.544462 -0.105712 0.048199 999 999 53635.987105 0.556866 999 999 999 999 999 999 999
 05D3mn 999 0.760000 999 24.013451 0.000861 -0.123088 0.292716 -0.036515 0.050930 999 999 53559.291753 0.325941 999 999 999 999 999 999 999
 SDSS14451 999 0.179000 999 20.150638 -0.002045 0.289753 0.167948 -0.106830 0.026700 999 999 54011.802639 0.176746 999 999 999 999 999 999 999
 05D3cq 999 0.890000 999 24.174167 0.000837 -0.724908 0.606894 -0.198449 0.056669 999 999 53450.843052 0.966543 999 999 999 999 999 999 999
 04D2cf 999 0.369000 999 22.444286 0.002514 -0.739174 0.246309 -0.021675 0.035870 999 999 53075.356024 1.080931 999 999 999 999 999 999 999
 SDSS18604 999 0.178000 999 20.910671 -0.002656 -2.079552 0.216540 -0.046392 0.030446 999 999 54387.374223 0.208076 999 999 999 999 999 999 999
 06D3en 999 1.060000 999 24.635120 0.000844 -0.990429 0.412572 -0.159969 0.060323 999 999 53881.454919 0.960836 999 999 999 999 999 999 999
 sn2006mp 999 0.023016 999 15.972160 -0.000822 0.941026 0.149039 0.003407 0.027036 999 999 54054.328169 0.107349 999 999 999 999 999 999 999
 SDSS9457 999 0.256900 999 21.432575 -0.002610 -0.348108 0.587140 -0.020983 0.058973 999 999 53688.825276 0.516357 999 999 999 999 999 999 999
